SiteID,Company,CompanyText,Customer,CustomerText,Name,State,StateText,Contact_Person,Contact_Number,Address,Maker,MakerText,Checker,ChekcerText,IsActText,IsAct
"54","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Ware House -Chennai","6","Tamil Nadu","","2978646536","","32","maker","33","checker","Active","1"
"55","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Corp Office Chennai","6","Tamil Nadu","","2978646536","","32","maker","33","checker","Active","1"
"56","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Ambatur- Chennai","6","Tamil Nadu","","2978646536","","32","maker","33","checker","Active","1"
"57","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Jaipur","8","Rajasthan","","2978646536","","32","maker","33","checker","Active","1"
"58","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Corp Office Bangalore","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"59","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Bangalore","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"60","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Kolkata Factory","2","West Bengal","","2978646536","","32","maker","33","checker","Active","1"
"61","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Kolkata","2","West Bengal","","2978646536","","32","maker","33","checker","Active","1"
"62","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Lucknow","4","Uttar Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"63","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Sahibabad","4","Uttar Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"64","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Noida","4","Uttar Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"65","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Patna","33","Bihar","","2978646536","","32","maker","33","checker","Active","1"
"66","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Trivandrum","24","Kerala","","2978646536","","32","maker","33","checker","Active","1"
"67","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Vizag","36","Andhra Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"68","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Hyderabad","1","Telangana","","2978646536","","32","maker","33","checker","Active","1"
"69","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Bhopal","23","Madhya Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"70","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Guwahati","34","Assam","","2978646536","","32","maker","33","checker","Active","1"
"71","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","New Delhi","16","Delhi","","2978646536","","32","maker","33","checker","Active","1"
"72","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Cuttack","15","Orissa","","2978646536","","32","maker","33","checker","Active","1"
"73","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Gurgaon","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"74","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Chandigarh","20","Chandigarh","","2978646536","","32","maker","33","checker","Active","1"
"75","8","Macmillan Publishers India Pvt Ltd","3","Macmillan Publishers","Ahmedabad","30","Gujarat","","2978646536","","32","maker","33","checker","Active","1"
"76","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Mumbai","22","Maharashtra","","2978646536","","32","maker","33","checker","Active","1"
"77","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Gurgaon-FT","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"78","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Gurgaon-CG","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"79","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Bhopal","23","Madhya Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"80","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Pune","22","Maharashtra","","2978646536","","32","maker","33","checker","Active","1"
"81","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Raipur","32","Chhattisgarh","","2978646536","","32","maker","33","checker","Active","1"
"82","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Gurgaon-Plot 25","29","Haryana","","2978646536","","32","maker","33","checker","Active","1"
"83","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Hyderabad","36","Andhra Pradesh","","2978646536","","32","maker","33","checker","Active","1"
"84","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Chennai","6","Tamil Nadu","","2978646536","","32","maker","33","checker","Active","1"
"85","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Bangalore-ITPL","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"86","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Bangalore","25","Karnataka","","2978646536","","32","maker","33","checker","Active","1"
"87","9","Alcatel Lucent India Limited","7","Alcatel Lucent","Ahmedabad","30","Gujarat","","2978646536","","32","maker","33","checker","Active","1"
