LocationID,Name,State,Status,Response,Message
"0","Kochi","Kerala","1","Success",""
"0","Udaipur","Rajasthan","1","Success",""
"0","Bhavnagar","Gujarat","1","Success",""
"0","Dehradun","Uttarakhand","1","Success",""
"0","Asansol","West Bengal","1","Success",""
"0","Nanded'-Waghala","Maharashtra","1","Success",""
"0","Ajmer","Rajasthan","1","Success",""
"0","Jamnagar","Gujarat","1","Success",""
"0","Ujjain","Madhya Pradesh","1","Success",""
"0","Sangli","Maharashtra","1","Success",""
"0","Loni","Uttar Pradesh","1","Success",""
"0","Jhansi","Uttar Pradesh","1","Success",""
"0","Pondicherry","Puducherry","1","Success",""
"0","Nellore","Andhra Pradesh","1","Success",""
"0","Jammu","Jammu and Kashmir","1","Success",""
"0","Belagavi","Karnataka","1","Success",""
"0","Raurkela","Odisha","1","Success",""
"0","Mangaluru","Karnataka","1","Success",""
"0","Tirunelveli","Tamil Nadu","1","Success",""
"0","Malegaon","Maharashtra","1","Success",""
"0","Gaya","Bihar","1","Success",""
"0","Tiruppur","Tamil Nadu","1","Success",""
"0","Davanagere","Karnataka","1","Success",""
"0","Kozhikode","Kerala","1","Success",""
"0","Akola","Maharashtra","1","Success",""
"0","Kurnool","Andhra Pradesh","1","Success",""
"0","Bokaro Steel City","Jharkhand","1","Success",""
"0","Rajahmundry","Andhra Pradesh","1","Success",""
"0","Ballari","Karnataka","1","Success",""
"0","Agartala","Tripura","1","Success",""
"0","Bhagalpur","Bihar","1","Success",""
"0","Latur","Maharashtra","1","Success",""
"0","Dhule","Maharashtra","1","Success",""
"0","Korba","Chhattisgarh","1","Success",""
"0","Bhilwara","Rajasthan","1","Success",""
"0","Brahmapur","Odisha","1","Success",""
"0","Mysore","Karnatka","1","Success",""
"0","Muzaffarpur","Bihar","1","Success",""
"0","Ahmednagar","Maharashtra","1","Success",""
"0","Kollam","Kerala","1","Success",""
"0","Raghunathganj","West Bengal","1","Success",""
"0","Bilaspur","Chhattisgarh","1","Success",""
"0","Shahjahanpur","Uttar Pradesh","1","Success",""
"0","Thrissur","Kerala","1","Success",""
"0","Alwar","Rajasthan","1","Success",""
"0","Kakinada","Andhra Pradesh","1","Success",""
"0","Nizamabad","Telangana","1","Success",""
"0","Sagar","Madhya Pradesh","1","Success",""
"0","Tumkur","Karnataka","1","Success",""
"0","Hisar","Haryana","1","Success",""
"0","Rohtak","Haryana","1","Success",""
"0","Panipat","Haryana","1","Success",""
"0","Darbhanga","Bihar","1","Success",""
"0","Kharagpur","West Bengal","1","Success",""
"0","Aizawl","Mizoram","1","Success",""
"0","Ichalkaranji","Maharashtra","1","Success",""
"0","Tirupati","Andhra Pradesh","1","Success",""
"0","Karnal","Haryana","1","Success",""
"0","Bathinda","Punjab","1","Success",""
"0","Rampur","Uttar Pradesh","1","Success",""
"0","Shivamogga","Karnataka","1","Success",""
"0","Ratlam","Madhya Pradesh","1","Success",""
"0","Modinagar","Uttar Pradesh","1","Success",""
"0","Durg","Chhattisgarh","1","Success",""
"0","Shillong","Meghalaya","1","Success",""
"0","Imphal","Manipur","1","Success",""
"0","Hapur","Uttar Pradesh","1","Success",""
"0","Ranipet","Tamil Nadu","1","Success",""
"0","Anantapur","Andhra Pradesh","1","Success",""
"0","Arrah","Bihar","1","Success",""
"0","Karimnagar","Telangana","1","Success",""
"0","Parbhani","Maharashtra","1","Success",""
"0","Etawah","Uttar Pradesh","1","Success",""
"0","Bharatpur","Rajasthan","1","Success",""
"0","Begusarai","Bihar","1","Success",""
"0","New Delhi","Delhi","1","Success",""
"0","Chhapra","Bihar","1","Success",""
"0","Kadapa","Andhra Pradesh","1","Success",""
"0","Ramagundam","Telangana","1","Success",""
"0","Pali","Rajasthan","1","Success",""
"0","Satna","Madhya Pradesh","1","Success",""
"0","Vizianagaram","Andhra Pradesh","1","Success",""
"0","Katihar","Bihar","1","Success",""
"0","Hardwar","Uttarakhand","1","Success",""
"0","Sonipat","Haryana","1","Success",""
"0","Nagercoil","Tamil Nadu","1","Success",""
"0","Thanjavur","Tamil Nadu","1","Success",""
"0","Murwara (Katni)","Madhya Pradesh","1","Success",""
"0","Naihati","West Bengal","1","Success",""
"0","Sambhal","Uttar Pradesh","1","Success",""
"0","Nadiad","Gujarat","1","Success",""
"0","Yamunanagar","Haryana","1","Success",""
"0","English Bazar","West Bengal","1","Success",""
"0","Eluru","Andhra Pradesh","1","Success",""
"0","Munger","Bihar","1","Success",""
"0","Panchkula","Haryana","1","Success",""
"0","Raayachuru","Karnataka","1","Success",""
"0","Panvel","Maharashtra","1","Success",""
"0","Deoghar","Jharkhand","1","Success",""
"0","Ongole","Andhra Pradesh","1","Success",""
"0","Nandyal","Andhra Pradesh","1","Success",""
"0","Morena","Madhya Pradesh","1","Success",""
"0","Bhiwani","Haryana","1","Success",""
"0","Porbandar","Gujarat","1","Success",""
"0","Palakkad","Kerala","1","Success",""
"0","Anand","Gujarat","1","Success",""
"0","Purnia","Bihar","1","Success",""
"0","Baharampur","West Bengal","1","Success",""
"0","Barmer","Rajasthan","1","Success",""
"0","Morvi","Gujarat","1","Success",""
"0","Orai","Uttar Pradesh","1","Success",""
"0","Bahraich","Uttar Pradesh","1","Success",""
"0","Sikar","Rajasthan","1","Success",""
"0","Vellore","Tamil Nadu","1","Success",""
"0","Singrauli","Madhya Pradesh","1","Success",""
"0","Khammam","Telangana","1","Success",""
"0","Mahesana","Gujarat","1","Success",""
"0","Silchar","Assam","1","Success",""
"0","Sambalpur","Odisha","1","Success",""
"0","Rewa","Madhya Pradesh","1","Success",""
"0","Unnao","Uttar Pradesh","1","Success",""
"0","Hugli'-Chinsurah","West Bengal","1","Success",""
"0","Raiganj","West Bengal","1","Success",""
"0","Phusro","Jharkhand","1","Success",""
"0","Adityapur","Jharkhand","1","Success",""
"0","Alappuzha","Kerala","1","Success",""
"0","Bahadurgarh","Haryana","1","Success",""
"0","Machilipatnam","Andhra Pradesh","1","Success",""
"0","Rae Bareli","Uttar Pradesh","1","Success",""
"0","Jalpaiguri","West Bengal","1","Success",""
"0","Bharuch","Gujarat","1","Success",""
"0","Pathankot","Punjab","1","Success",""
"0","Hoshiarpur","Punjab","1","Success",""
"0","Baramula","Jammu and Kashmir","1","Success",""
"0","Adoni","Andhra Pradesh","1","Success",""
"0","Jind","Haryana","1","Success",""
"0","Tonk","Rajasthan","1","Success",""
"0","Tenali","Andhra Pradesh","1","Success",""
"0","Kancheepuram","Tamil Nadu","1","Success",""
"0","Vapi","Gujarat","1","Success",""
"0","Sirsa","Haryana","1","Success",""
