SiteID,Site,Site_Code,Company,Customer,State,Location,Contact_Person,Contact_Number,Address,Maker,Checker,Status
"216","Kandivali","Si_Kan_00216","Cars24 Services Private Limited","Cars24","Maharashtra","","","","","","","Active"
"217","S.A.S. Nagar Mohali","Si_S.A_00217","Cars24 Services Private Limited","Cars24","Punjab","","","","Sahibzada Ajit Singh Nagar, Punjab, India","","","Active"
"218","Vaishali Nagar Jaipur","Si_Vai_00218","Cars24 Services Private Limited","Cars24","Rajasthan","","","","Vaishali Nagar, Jaipur, Rajasthan, India","","","Active"
"219","Jubilee Hills Hyderabad","Si_Jub_00219","Cars24 Services Private Limited","Cars24","Telangana","","","","","","","Active"
"220","Somajiguda Hyderabad","Si_Som_00220","Cars24 Services Private Limited","Cars24","Telangana","","","","Somajiguda, Hyderabad, Telangana, India","","","Active"
"221","Gachibowli Hyderabad","Si_Gac_00221","Cars24 Services Private Limited","Cars24","Telangana","","","","Gachibowli, Hyderabad, Telangana, India","","","Active"
"222","Habsiguda Hyderabad","Si_Hab_00222","Cars24 Services Private Limited","Cars24","Telangana","","","","Habsiguda, Hyderabad, Telangana, India","","","Active"
"223","Malakpet Hyderabad","Si_Mal_00223","Cars24 Services Private Limited","Cars24","Telangana","","","","","","","Active"
"224","Kavuri Hills","Si_Kav_00224","Cars24 Services Private Limited","Cars24","Telangana","","","","","","","Active"
"225","kukatpally","Si_kuk_00225","Cars24 Services Private Limited","Cars24","Telangana","","","","Kukatpally, Hyderabad, Telangana, India","","","Active"
"226","Sector'-3 Noida","Si_Sec_00226","Cars24 Services Private Limited","Cars24","Uttar Pradesh","","","","Sector 3, Noida, Uttar Pradesh 201301, India","","","Active"
"227","Ghaziabad","Si_Gha_00227","Cars24 Services Private Limited","Cars24","Uttar Pradesh","","","","Ghaziabad, Uttar Pradesh, India","","","Active"
"384","Gurgaon","Si_Gur_00384","Clifford chance Business Services Pvt. Ltd.","Clifford","Haryana","","","","Gurugram, Haryana, India","","","Active"
"26","Okhla D'-12 New Delhi","Si_Okh_00026","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
"27","Okhla C 57 3rd Floor New Delhi","Si_Okh_00027","Dealskart Online Solutions Private Limited","Dealskart","Delhi","","","","","","","Active"
